group,n,mae,mse,r2,set,target,n_cov,cov,race_adj
asian,198,412.74,280985.22,0.68,nh,fvc,6,immigrant,false
hispanic,2489,669.73,691277.20,0.27,nh,fvc,6,immigrant,false
other,342,500.82,423190.38,0.57,nh,fvc,6,immigrant,false
All,7323,525.63,450839.07,0.58,nh,fvc,7,immigrant,true
white,2466,450.03,334980.25,0.72,nh,fvc,7,immigrant,true
black,1828,486.47,399664.23,0.52,nh,fvc,7,immigrant,true
asian,198,504.79,402311.11,0.55,nh,fvc,7,immigrant,true
hispanic,2489,634.35,611721.65,0.35,nh,fvc,7,immigrant,true
other,342,500.95,417000.62,0.58,nh,fvc,7,immigrant,true
All,3860,532.36,468730.64,0.56,nh3,fvc,6,immigrant,false
white,1293,456.95,344572.86,0.72,nh3,fvc,6,immigrant,false
black,1120,493.82,407865.99,0.53,nh3,fvc,6,immigrant,false
hispanic,1259,646.80,652672.39,0.30,nh3,fvc,6,immigrant,false
other,188,514.21,453420.85,0.54,nh3,fvc,6,immigrant,false
All,3860,507.84,421474.30,0.61,nh3,fvc,7,immigrant,true
white,1293,440.55,318580.66,0.74,nh3,fvc,7,immigrant,true
black,1120,475.39,379139.90,0.56,nh3,fvc,7,immigrant,true
hispanic,1259,608.70,568529.75,0.39,nh3,fvc,7,immigrant,true
other,188,488.58,396544.59,0.60,nh3,fvc,7,immigrant,true
All,3463,627.93,623981.10,0.41,nh4,fvc,6,immigrant,false
white,1173,530.51,439811.07,0.61,nh4,fvc,6,immigrant,false
black,708,908.05,1132398.81,-0.41,nh4,fvc,6,immigrant,false
asian,198,585.59,534996.65,0.40,nh4,fvc,6,immigrant,false
hispanic,1230,581.33,547019.60,0.42,nh4,fvc,6,immigrant,false
other,154,508.70,418482.78,0.56,nh4,fvc,6,immigrant,false
All,3463,656.83,659371.97,0.37,nh4,fvc,7,immigrant,true
white,1173,723.36,737884.06,0.35,nh4,fvc,7,immigrant,true
black,708,865.75,1013557.28,-0.26,nh4,fvc,7,immigrant,true
asian,198,776.07,861528.29,0.03,nh4,fvc,7,immigrant,true
hispanic,1230,467.17,370833.16,0.61,nh4,fvc,7,immigrant,true
other,154,551.02,477669.99,0.50,nh4,fvc,7,immigrant,true
All,46958,412.01,291972.82,0.67,ukb_val,fvc,7,hs_grad,false
white,44562,409.31,288634.27,0.66,ukb_val,fvc,7,hs_grad,false
black,609,494.93,383405.10,0.41,ukb_val,fvc,7,hs_grad,false
asian,1051,462.00,360435.14,0.45,ukb_val,fvc,7,hs_grad,false
other,736,435.12,320690.73,0.64,ukb_val,fvc,7,hs_grad,false
