target,group,cov,val,index,coef,std_err,t,p,ci_lower,ci_upper
fev1,NA,born_uk,zimbabwe,born_uk_zimbabwe[T.True],-91.84660395703446,37.92862644053762,-2.421564200354749,0.015455096384615858,-166.18596976824816,-17.507238145820764
fev1,NA,born_uk,zimbabwe,age,-30.288941682022802,0.1638917587278743,-184.8106452522395,0.0,-30.610166322852212,-29.967717041193392
fev1,demographics,race,1,Intercept,5206.481333605181,9.486408414570302,548.8358824619522,0.0,5187.888158698863,5225.0745085114995
fev1,demographics,race,1,sex[T.True],-962.019259302156,2.6430660161771704,-363.97852093516144,0.0,-967.1996169865508,-956.8389016177612
fev1,demographics,race,1,race_1[T.True],-601.0688345969077,11.178141438433437,-53.77180436546208,0.0,-622.9777731339767,-579.1598960598386
fev1,demographics,race,1,age,-30.878427115848023,0.16263260906801322,-189.86614857131522,0.0,-31.197183847977335,-30.55967038371871
fev1,demographics,race,2,Intercept,5233.389726147096,9.335887742492169,560.5669080967407,0.0,5215.091568813357,5251.687883480834
fev1,demographics,race,2,sex[T.True],-967.0075017037543,2.6011569723481984,-371.76053271048335,0.0,-972.105718482127,-961.9092849253816
fev1,demographics,race,2,race_2[T.True],-739.0696456966575,8.410523265945997,-87.87439524590965,0.0,-755.554106759625,-722.58518463369
fev1,demographics,race,2,age,-31.13785072486277,0.15995052879502827,-194.6717585708327,0.0,-31.451350632127593,-30.824350817597946
fev1,demographics,race,3,Intercept,5164.884532479577,9.549105857650758,540.8762463703828,0.0,5146.168471812484,5183.600593146669
fev1,demographics,race,3,sex[T.True],-962.6352768993702,2.669399800013594,-360.6186217944828,0.0,-967.8672482846019,-957.4033055141384
fev1,demographics,race,3,race_3[T.True],0.0,0.0,,,0.0,0.0
fev1,demographics,race,3,age,-30.282457430943104,0.16387264644473873,-184.79263066734558,0.0,-30.603644612052772,-29.961270249833436
fev1,demographics,race,4,Intercept,5182.808254234733,9.546328188471778,542.9111750519465,0.0,5164.097637743801,5201.518870725665
fev1,demographics,race,4,sex[T.True],-962.8097893170884,2.6624227527294395,-361.629192182212,0.0,-968.0280858264425,-957.5914928077343
fev1,demographics,race,4,race_4[T.True],-284.9771631965648,10.347046172249636,-27.541885718154244,1.4998120424476062e-166,-305.25717127094845,-264.69715512218113
fev1,demographics,race,4,age,-30.515674016844727,0.1636630679896256,-186.45424646921,0.0,-30.836450428301134,-30.19489760538832
fvc,NA,age,,Intercept,6340.587592203379,12.346611935228493,513.5487877538152,0.0,6316.388474353236,6364.786710053522
fvc,NA,age,,sex[T.True],-1245.5226596357288,3.451427172559659,-360.8717777788196,0.0,-1252.287389371961,-1238.7579298994967
fvc,NA,age,,age,-33.58204062031375,0.2118807773851456,-158.49498493801588,0.0,-33.99732279885969,-33.166758441767804
fvc,exposures,pm2p5,10,Intercept,6362.255803417189,12.349723547699105,515.1739452987634,0.0,6338.050586866068,6386.461019968309
fvc,exposures,pm2p5,10,sex[T.True],-1245.9740447642564,3.443936775796316,-361.7877231431344,0.0,-1252.7240934697636,-1239.2239960587492
fvc,exposures,pm2p5,10,age,-33.95944176072378,0.21194968290816013,-160.22407438768727,0.0,-34.37485899277098,-33.54402452867657
fvc,exposures,pm2p5,10,pm2p5_10,-42.466341461622086,1.6880885557403607,-25.15646546931137,2.404888891513001e-139,-45.77496200615049,-39.157720917093684
fvc,exposures,work_air,work_air,Intercept,6324.068133152548,12.352238798969676,511.97748327858193,0.0,6299.857986758145,6348.278279546952
fvc,exposures,work_air,work_air,sex[T.True],-1241.495153809548,3.4513484656426643,-359.71307046168494,0.0,-1248.259729282156,-1234.7305783369397
fvc,exposures,work_air,work_air,work_air[T.True],106.11827550184276,5.015793279751278,21.156827959844655,3.381998284739321e-99,96.28741879941448,115.94913220427104
