group,n,mae,mae_ci_lower,mae_ci_upper,mse,mse_ci_lower,mse_ci_upper,r2,r2_ci_lower,r2_ci_upper,set,target,n_cov,cov,race_adj,model
All,1785,401.26,387.44,414.86,251783.90,235560.64,267950.65,0.56,0.53,0.59,nh4,fev1,6,waist_circ,True,xgboost
white,633,359.92,338.54,382.22,208558.14,183271.61,234694.60,0.68,0.64,0.72,nh4,fev1,6,waist_circ,True,xgboost
black,372,371.00,340.23,401.73,218883.72,186939.15,254421.78,0.47,0.38,0.55,nh4,fev1,6,waist_circ,True,xgboost
asian,88,400.77,344.80,459.27,233276.66,177169.09,295728.44,0.47,0.28,0.60,nh4,fev1,6,waist_circ,True,xgboost
hispanic,629,460.34,436.34,485.19,316377.81,287961.51,346905.86,0.39,0.32,0.46,nh4,fev1,6,waist_circ,True,xgboost
other,63,386.72,316.26,463.87,241490.06,155412.67,352372.95,0.48,0.22,0.67,nh4,fev1,6,waist_circ,True,xgboost
All,43260,320.57,318.02,322.92,175545.23,172458.22,178603.41,0.67,0.66,0.67,ukb_val,fev1,7,immigrant,True,xgboost
white,40956,320.62,318.00,323.21,175278.32,172071.64,178321.85,0.66,0.66,0.67,ukb_val,fev1,7,immigrant,True,xgboost
black,589,325.99,304.27,350.46,193256.57,164978.58,226213.44,0.50,0.43,0.57,ukb_val,fev1,7,immigrant,True,xgboost
asian,1017,303.62,287.16,320.90,168285.33,139393.27,211256.72,0.57,0.51,0.62,ukb_val,fev1,7,immigrant,True,xgboost
other,698,339.30,318.86,359.77,189831.16,167176.26,212960.54,0.60,0.54,0.65,ukb_val,fev1,7,immigrant,True,xgboost
All,3354,390.96,380.68,401.08,244240.52,232387.80,255952.01,0.58,0.55,0.60,nh,fev1,7,immigrant,True,xgboost
white,1330,344.23,330.08,359.11,191772.21,176945.14,208613.69,0.70,0.67,0.72,nh,fev1,7,immigrant,True,xgboost
black,739,362.04,340.36,381.18,212242.43,188640.16,234612.79,0.55,0.50,0.60,nh,fev1,7,immigrant,True,xgboost
asian,88,402.16,346.14,461.77,236645.99,181279.41,299155.22,0.46,0.27,0.59,nh,fev1,7,immigrant,True,xgboost
hispanic,1049,470.28,449.17,489.94,332860.88,308085.85,359250.91,0.35,0.29,0.41,nh,fev1,7,immigrant,True,xgboost
other,148,384.39,332.32,437.76,251591.59,185755.96,341851.77,0.48,0.34,0.58,nh,fev1,7,immigrant,True,xgboost
All,1569,375.63,361.17,390.40,231089.14,213954.24,248955.47,0.60,0.57,0.63,nh3,fev1,7,immigrant,True,xgboost
white,697,333.78,313.60,355.70,184670.45,162329.61,209512.79,0.70,0.67,0.73,nh3,fev1,7,immigrant,True,xgboost
black,367,362.47,334.50,388.69,212793.70,183498.84,242935.23,0.60,0.53,0.66,nh3,fev1,7,immigrant,True,xgboost
hispanic,420,451.41,419.45,486.12,313028.05,274886.73,356664.16,0.37,0.27,0.46,nh3,fev1,7,immigrant,True,xgboost
other,85,404.61,337.48,479.95,288696.63,187494.87,437707.39,0.39,0.16,0.55,nh3,fev1,7,immigrant,True,xgboost
All,1785,404.47,390.57,418.65,256040.96,240020.68,272427.19,0.56,0.52,0.59,nh4,fev1,7,immigrant,True,xgboost
white,633,356.04,334.18,377.24,200132.76,177116.49,222312.74,0.69,0.66,0.73,nh4,fev1,7,immigrant,True,xgboost
black,372,361.29,329.26,390.98,211235.25,176684.68,246740.57,0.49,0.39,0.57,nh4,fev1,7,immigrant,True,xgboost
asian,88,402.16,346.14,461.77,236645.99,181279.41,299155.22,0.46,0.27,0.59,nh4,fev1,7,immigrant,True,xgboost
hispanic,629,482.16,456.50,507.67,345122.86,313452.76,377466.16,0.34,0.26,0.41,nh4,fev1,7,immigrant,True,xgboost
other,63,357.73,293.96,427.55,202440.48,134449.83,283547.97,0.57,0.38,0.71,nh4,fev1,7,immigrant,True,xgboost
All,43260,321.16,318.61,323.53,176145.77,173050.45,179224.86,0.67,0.66,0.67,ukb_val,fev1,8,inc_pov_bin,True,xgboost
white,40956,321.17,318.56,323.81,175940.87,172590.37,179033.79,0.66,0.66,0.67,ukb_val,fev1,8,inc_pov_bin,True,xgboost
black,589,325.26,303.21,348.71,189004.29,160802.75,221725.63,0.52,0.44,0.58,ukb_val,fev1,8,inc_pov_bin,True,xgboost
asian,1017,306.95,291.12,324.42,168757.65,140238.93,209638.35,0.57,0.51,0.62,ukb_val,fev1,8,inc_pov_bin,True,xgboost
other,698,338.76,317.72,359.80,190964.37,167831.40,214942.12,0.60,0.54,0.65,ukb_val,fev1,8,inc_pov_bin,True,xgboost
All,3354,389.27,379.16,399.28,241323.97,229620.44,252083.89,0.58,0.56,0.60,nh,fev1,8,inc_pov_bin,True,xgboost
white,1330,338.83,324.14,353.98,187499.92,172704.94,203899.61,0.71,0.68,0.73,nh,fev1,8,inc_pov_bin,True,xgboost
black,739,362.89,341.57,382.01,211359.59,189077.52,232738.11,0.55,0.50,0.60,nh,fev1,8,inc_pov_bin,True,xgboost
asian,88,389.57,333.18,446.25,221647.03,168456.15,280990.06,0.50,0.32,0.62,nh,fev1,8,inc_pov_bin,True,xgboost
hispanic,1049,471.64,451.11,490.97,331632.27,307370.02,357285.85,0.35,0.29,0.41,nh,fev1,8,inc_pov_bin,True,xgboost
other,148,388.28,339.71,437.10,245409.45,186568.02,319759.66,0.49,0.35,0.59,nh,fev1,8,inc_pov_bin,True,xgboost
All,1569,373.96,359.67,388.44,227489.52,211044.36,243881.71,0.61,0.58,0.64,nh3,fev1,8,inc_pov_bin,True,xgboost
white,697,325.40,305.75,346.61,177159.25,157189.47,198334.37,0.71,0.68,0.74,nh3,fev1,8,inc_pov_bin,True,xgboost
black,367,366.96,338.55,392.58,212037.48,182909.93,240335.77,0.60,0.53,0.66,nh3,fev1,8,inc_pov_bin,True,xgboost
hispanic,420,453.90,422.17,487.43,313765.30,273956.70,353746.84,0.36,0.26,0.45,nh3,fev1,8,inc_pov_bin,True,xgboost
other,85,410.01,342.84,483.36,281438.04,188707.10,400711.91,0.40,0.14,0.56,nh3,fev1,8,inc_pov_bin,True,xgboost
All,1785,402.79,389.10,417.25,253791.47,237741.20,270576.84,0.56,0.53,0.59,nh4,fev1,8,inc_pov_bin,True,xgboost
white,633,353.75,332.37,375.16,199291.79,176585.39,221813.39,0.69,0.65,0.73,nh4,fev1,8,inc_pov_bin,True,xgboost
black,372,358.49,326.80,390.47,210021.07,176914.14,245016.98,0.49,0.40,0.56,nh4,fev1,8,inc_pov_bin,True,xgboost
asian,88,389.57,333.18,446.25,221647.03,168456.15,280990.06,0.50,0.32,0.62,nh4,fev1,8,inc_pov_bin,True,xgboost
hispanic,629,482.98,457.10,509.05,342893.95,313294.08,373510.39,0.34,0.26,0.42,nh4,fev1,8,inc_pov_bin,True,xgboost
other,63,358.27,298.21,424.62,196813.47,138688.99,265479.79,0.58,0.41,0.71,nh4,fev1,8,inc_pov_bin,True,xgboost
All,43260,320.41,317.88,322.73,175300.49,172223.31,178319.32,0.67,0.66,0.67,ukb_val,fev1,9,hs_grad,True,xgboost
white,40956,320.46,317.84,323.06,175056.01,171854.73,178119.71,0.66,0.66,0.67,ukb_val,fev1,9,hs_grad,True,xgboost
black,589,327.39,305.77,350.44,193989.44,164396.87,228091.54,0.50,0.43,0.57,ukb_val,fev1,9,hs_grad,True,xgboost
asian,1017,306.54,290.23,324.11,168665.07,139546.20,210453.46,0.57,0.51,0.62,ukb_val,fev1,9,hs_grad,True,xgboost
other,698,333.26,313.20,354.14,186426.50,164772.07,210259.57,0.61,0.55,0.66,ukb_val,fev1,9,hs_grad,True,xgboost
All,3354,397.46,387.38,407.69,251023.83,238665.07,262807.85,0.57,0.54,0.59,nh,fev1,9,hs_grad,True,xgboost
white,1330,346.44,331.19,361.86,195399.95,180174.41,212270.40,0.69,0.67,0.72,nh,fev1,9,hs_grad,True,xgboost
black,739,366.61,346.68,385.84,213439.03,191478.71,235969.48,0.55,0.50,0.59,nh,fev1,9,hs_grad,True,xgboost
asian,88,391.12,332.83,454.92,230892.39,173855.24,293981.10,0.48,0.28,0.62,nh,fev1,9,hs_grad,True,xgboost
hispanic,1049,485.23,465.03,505.20,347942.00,321514.49,374608.84,0.32,0.26,0.38,nh,fev1,9,hs_grad,True,xgboost
other,148,389.66,337.95,443.43,262619.17,192208.53,359006.53,0.45,0.32,0.57,nh,fev1,9,hs_grad,True,xgboost
All,1569,384.49,370.22,399.33,240149.39,222824.82,258598.60,0.59,0.55,0.62,nh3,fev1,9,hs_grad,True,xgboost
white,697,335.11,314.71,356.42,187659.18,166077.91,209746.90,0.70,0.66,0.73,nh3,fev1,9,hs_grad,True,xgboost
black,367,371.02,343.22,397.12,215228.40,186350.32,245244.54,0.59,0.52,0.65,nh3,fev1,9,hs_grad,True,xgboost
hispanic,420,474.90,442.88,509.99,337599.99,297001.34,381244.22,0.32,0.21,0.41,nh3,fev1,9,hs_grad,True,xgboost
other,85,401.78,326.49,481.99,297888.29,181937.21,456571.83,0.37,0.15,0.54,nh3,fev1,9,hs_grad,True,xgboost
All,1785,408.96,394.97,423.51,260940.60,244516.04,277846.15,0.55,0.51,0.58,nh4,fev1,9,hs_grad,True,xgboost
white,633,359.12,338.30,381.30,204484.58,182034.08,227060.82,0.69,0.65,0.72,nh4,fev1,9,hs_grad,True,xgboost
black,372,362.07,332.47,393.48,211181.93,177896.14,246548.73,0.49,0.39,0.57,nh4,fev1,9,hs_grad,True,xgboost
asian,88,391.12,332.83,454.92,230892.39,173855.24,293981.10,0.48,0.28,0.62,nh4,fev1,9,hs_grad,True,xgboost
hispanic,629,491.58,464.66,517.12,354374.14,321448.72,387473.45,0.32,0.24,0.39,nh4,fev1,9,hs_grad,True,xgboost
other,63,372.03,307.71,441.56,214490.52,144906.65,296784.14,0.54,0.34,0.69,nh4,fev1,9,hs_grad,True,xgboost
All,43260,320.64,318.14,322.95,175451.23,172315.43,178499.44,0.67,0.66,0.67,ukb_val,fev1,10,smoke_exposure,True,xgboost
white,40956,320.62,317.99,323.18,175249.21,172033.57,178274.93,0.66,0.66,0.67,ukb_val,fev1,10,smoke_exposure,True,xgboost
black,589,329.58,308.06,353.20,193325.48,163351.19,227722.38,0.50,0.43,0.57,ukb_val,fev1,10,smoke_exposure,True,xgboost
asian,1017,307.71,291.39,324.72,169204.31,139902.71,213115.68,0.57,0.51,0.62,ukb_val,fev1,10,smoke_exposure,True,xgboost
other,698,334.54,314.91,354.79,184692.79,163551.83,207068.42,0.61,0.56,0.66,ukb_val,fev1,10,smoke_exposure,True,xgboost
All,3354,395.20,384.80,405.32,247883.61,235762.92,259828.42,0.57,0.55,0.59,nh,fev1,10,smoke_exposure,True,xgboost
white,1330,341.56,327.10,356.13,190142.70,175282.08,206266.67,0.70,0.68,0.73,nh,fev1,10,smoke_exposure,True,xgboost
black,739,363.56,343.41,383.18,211209.66,189123.82,233451.79,0.55,0.50,0.60,nh,fev1,10,smoke_exposure,True,xgboost
asian,88,397.60,342.57,456.10,232387.71,176420.40,296388.86,0.47,0.29,0.60,nh,fev1,10,smoke_exposure,True,xgboost
hispanic,1049,486.21,465.66,506.38,346614.85,321506.15,371706.08,0.32,0.26,0.39,nh,fev1,10,smoke_exposure,True,xgboost
other,148,387.77,339.32,440.71,259568.71,188746.51,353332.86,0.46,0.32,0.57,nh,fev1,10,smoke_exposure,True,xgboost
All,1569,378.97,364.21,393.61,235041.80,218385.71,252763.76,0.59,0.56,0.62,nh3,fev1,10,smoke_exposure,True,xgboost
white,697,331.62,310.78,352.61,183763.19,162432.54,206822.97,0.70,0.67,0.73,nh3,fev1,10,smoke_exposure,True,xgboost
black,367,366.40,338.03,392.53,216824.74,187155.28,246967.62,0.59,0.53,0.65,nh3,fev1,10,smoke_exposure,True,xgboost
hispanic,420,464.72,433.74,498.93,326655.57,288315.13,368738.33,0.34,0.23,0.43,nh3,fev1,10,smoke_exposure,True,xgboost
other,85,402.19,333.27,478.22,284765.99,184935.98,430366.57,0.40,0.17,0.55,nh3,fev1,10,smoke_exposure,True,xgboost
All,1785,409.49,395.27,423.86,259441.88,243095.55,276996.38,0.55,0.51,0.58,nh4,fev1,10,smoke_exposure,True,xgboost
white,633,352.72,331.21,374.36,197849.85,174419.80,219959.70,0.70,0.66,0.73,nh4,fev1,10,smoke_exposure,True,xgboost
black,372,360.23,330.49,388.82,204832.88,172981.38,238969.68,0.50,0.42,0.57,nh4,fev1,10,smoke_exposure,True,xgboost
asian,88,397.60,342.57,456.10,232387.71,176420.40,296388.86,0.47,0.29,0.60,nh4,fev1,10,smoke_exposure,True,xgboost
hispanic,629,500.13,474.44,525.01,359584.94,326834.31,393638.72,0.31,0.23,0.39,nh4,fev1,10,smoke_exposure,True,xgboost
other,63,366.92,301.09,442.38,224943.82,137741.71,336609.22,0.52,0.28,0.69,nh4,fev1,10,smoke_exposure,True,xgboost
All,43260,324.18,321.69,326.63,179438.14,176371.00,182553.82,0.66,0.65,0.67,ukb_val,fev1,4,GLI global,True,gli_global
white,40956,323.77,321.29,326.40,178998.56,175759.86,182005.87,0.66,0.65,0.66,ukb_val,fev1,4,GLI global,True,gli_global
black,589,333.80,311.48,357.18,195647.75,167607.31,231503.33,0.50,0.42,0.56,ukb_val,fev1,4,GLI global,True,gli_global
asian,1017,316.48,299.69,333.20,175981.24,146951.49,216949.65,0.55,0.50,0.59,ukb_val,fev1,4,GLI global,True,gli_global
other,698,351.37,330.63,371.65,197945.28,175871.15,222887.57,0.58,0.53,0.64,ukb_val,fev1,4,GLI global,True,gli_global
All,3354,345.29,336.75,354.19,191154.52,182214.38,200340.66,0.67,0.65,0.69,nh,fev1,4,GLI global,True,gli_global
white,1330,321.03,306.89,334.16,166743.59,153660.09,179917.33,0.74,0.72,0.76,nh,fev1,4,GLI global,True,gli_global
black,739,355.88,335.48,376.02,201673.48,179322.55,225146.79,0.57,0.53,0.61,nh,fev1,4,GLI global,True,gli_global
asian,88,389.94,335.79,447.02,223240.86,169368.01,287799.56,0.50,0.34,0.61,nh,fev1,4,GLI global,True,gli_global
hispanic,1049,365.31,348.75,382.12,210961.01,194764.63,229175.75,0.59,0.55,0.62,nh,fev1,4,GLI global,True,gli_global
other,148,340.29,296.45,387.67,196856.28,147735.84,258798.62,0.59,0.50,0.66,nh,fev1,4,GLI global,True,gli_global
All,1569,348.82,336.07,362.80,198282.03,185104.07,212870.00,0.66,0.63,0.68,nh3,fev1,4,GLI global,True,gli_global
white,697,318.93,299.49,338.16,168946.00,149820.90,189355.91,0.73,0.70,0.76,nh3,fev1,4,GLI global,True,gli_global
black,367,361.04,332.07,389.15,211267.86,178502.91,243700.68,0.60,0.54,0.66,nh3,fev1,4,GLI global,True,gli_global
hispanic,420,385.39,356.25,413.87,230371.08,201794.71,260053.78,0.53,0.47,0.59,nh3,fev1,4,GLI global,True,gli_global
other,85,361.65,299.94,429.84,225248.07,149024.03,315450.04,0.52,0.38,0.63,nh3,fev1,4,GLI global,True,gli_global
All,1785,342.33,330.89,354.25,185122.22,173143.39,197460.03,0.68,0.66,0.70,nh4,fev1,4,GLI global,True,gli_global
white,633,323.74,305.14,344.00,165183.25,148009.66,184685.52,0.75,0.72,0.77,nh4,fev1,4,GLI global,True,gli_global
black,372,350.58,324.11,377.95,191609.11,162444.86,225445.15,0.54,0.46,0.59,nh4,fev1,4,GLI global,True,gli_global
asian,88,389.94,335.79,447.02,223240.86,169368.01,287799.56,0.50,0.34,0.61,nh4,fev1,4,GLI global,True,gli_global
hispanic,629,351.14,330.57,371.72,197459.46,176691.73,218900.57,0.62,0.58,0.66,nh4,fev1,4,GLI global,True,gli_global
other,63,311.80,250.86,377.24,159050.44,110635.89,217999.45,0.66,0.53,0.75,nh4,fev1,4,GLI global,True,gli_global
All,43260,335.73,333.16,338.17,192737.59,189482.74,195897.25,0.63,0.63,0.64,ukb_val,fev1,3,height,False,xgboost
white,40956,326.69,324.19,329.40,182245.99,178950.58,185328.37,0.65,0.64,0.66,ukb_val,fev1,3,height,False,xgboost
black,589,576.74,545.76,608.90,486917.34,436347.92,544872.15,-0.25,-0.45,-0.08,ukb_val,fev1,3,height,False,xgboost
asian,1017,539.84,517.47,562.54,424166.46,388551.47,466827.01,-0.09,-0.23,0.04,ukb_val,fev1,3,height,False,xgboost
other,698,363.88,342.73,385.57,223294.59,196441.83,253239.73,0.53,0.45,0.60,ukb_val,fev1,3,height,False,xgboost
All,3354,364.78,355.67,373.26,214968.32,204547.29,226182.81,0.63,0.61,0.65,nh,fev1,3,height,False,xgboost
white,1330,366.71,351.01,380.86,210826.15,194951.55,226369.13,0.67,0.64,0.70,nh,fev1,3,height,False,xgboost
black,739,411.58,387.94,436.31,276344.81,248110.36,307190.56,0.41,0.33,0.49,nh,fev1,3,height,False,xgboost
asian,88,364.36,304.92,428.16,219673.98,154498.40,296431.09,0.50,0.27,0.66,nh,fev1,3,height,False,xgboost
hispanic,1049,328.90,312.81,345.26,176075.02,159949.33,192207.32,0.66,0.62,0.69,nh,fev1,3,height,False,xgboost
other,148,375.98,329.02,423.37,222293.44,172021.01,288450.61,0.53,0.42,0.63,nh,fev1,3,height,False,xgboost
All,1569,375.34,361.79,388.86,225112.45,208878.74,241287.07,0.61,0.58,0.64,nh3,fev1,3,height,False,xgboost
white,697,372.72,351.23,394.32,220359.48,197729.95,244561.08,0.65,0.60,0.68,nh3,fev1,3,height,False,xgboost
black,367,405.39,373.63,438.11,263217.51,224194.36,306758.64,0.50,0.40,0.59,nh3,fev1,3,height,False,xgboost
hispanic,420,351.38,324.05,377.97,196597.18,169457.83,226998.47,0.60,0.53,0.66,nh3,fev1,3,height,False,xgboost
other,85,383.26,320.73,450.35,239469.89,161854.11,348103.48,0.49,0.31,0.61,nh3,fev1,3,height,False,xgboost
All,1785,356.14,343.42,368.20,206748.40,192613.32,220813.06,0.64,0.61,0.67,nh4,fev1,3,height,False,xgboost
white,633,360.30,340.32,382.67,201055.11,179942.19,223592.15,0.69,0.65,0.72,nh4,fev1,3,height,False,xgboost
black,372,417.16,384.95,453.27,289859.56,249156.01,336028.02,0.30,0.12,0.44,nh4,fev1,3,height,False,xgboost
asian,88,364.36,304.92,428.16,219673.98,154498.40,296431.09,0.50,0.27,0.66,nh4,fev1,3,height,False,xgboost
hispanic,629,313.21,294.80,332.79,161842.97,144725.46,180354.25,0.69,0.65,0.73,nh4,fev1,3,height,False,xgboost
other,63,365.46,300.52,425.64,198269.66,143448.85,255388.29,0.57,0.38,0.71,nh4,fev1,3,height,False,xgboost
All,43260,334.88,332.26,337.29,191797.03,188604.52,194993.90,0.64,0.63,0.64,ukb_val,fev1,4,sit_height,False,xgboost
white,40956,327.90,325.29,330.68,183948.07,180632.60,187167.41,0.65,0.64,0.65,ukb_val,fev1,4,sit_height,False,xgboost
black,589,512.21,482.17,543.24,407063.04,359646.41,460159.15,-0.05,-0.21,0.11,ukb_val,fev1,4,sit_height,False,xgboost
asian,1017,499.92,479.33,521.27,372196.68,338499.55,414483.23,0.04,-0.08,0.15,ukb_val,fev1,4,sit_height,False,xgboost
other,698,353.78,332.63,375.43,209026.99,183116.86,238668.12,0.56,0.49,0.62,ukb_val,fev1,4,sit_height,False,xgboost
All,3354,355.69,346.20,364.23,206170.12,196514.89,216531.98,0.64,0.62,0.66,nh,fev1,4,sit_height,False,xgboost
white,1330,350.37,335.41,364.88,196822.56,181634.93,211556.84,0.69,0.67,0.72,nh,fev1,4,sit_height,False,xgboost
black,739,387.36,363.44,410.60,252033.23,225037.90,280978.59,0.47,0.39,0.54,nh,fev1,4,sit_height,False,xgboost
asian,88,347.11,286.23,409.61,209156.55,144756.84,283736.06,0.53,0.28,0.68,nh,fev1,4,sit_height,False,xgboost
hispanic,1049,341.05,325.37,357.55,186392.74,170483.32,203038.01,0.64,0.60,0.67,nh,fev1,4,sit_height,False,xgboost
other,148,361.73,319.87,406.98,202666.56,161169.66,251197.51,0.57,0.43,0.68,nh,fev1,4,sit_height,False,xgboost
All,1569,358.52,344.99,372.13,208333.38,193329.02,223755.26,0.64,0.61,0.67,nh3,fev1,4,sit_height,False,xgboost
white,697,350.51,330.56,372.24,201712.06,179056.28,225903.97,0.68,0.63,0.71,nh3,fev1,4,sit_height,False,xgboost
black,367,372.97,342.40,404.98,231955.57,197059.25,268980.85,0.56,0.48,0.64,nh3,fev1,4,sit_height,False,xgboost
hispanic,420,358.32,332.06,386.58,199114.12,173780.97,228831.45,0.60,0.53,0.65,nh3,fev1,4,sit_height,False,xgboost
other,85,363.70,306.99,421.44,208023.75,146148.76,280909.54,0.55,0.29,0.72,nh3,fev1,4,sit_height,False,xgboost
All,1785,353.52,340.07,366.62,204542.02,190114.63,218996.81,0.65,0.62,0.67,nh4,fev1,4,sit_height,False,xgboost
white,633,350.29,330.98,373.09,191870.33,172799.95,215004.21,0.71,0.66,0.74,nh4,fev1,4,sit_height,False,xgboost
black,372,400.19,368.66,434.44,271280.21,232435.89,313072.02,0.34,0.18,0.47,nh4,fev1,4,sit_height,False,xgboost
asian,88,347.11,286.23,409.61,209156.55,144756.84,283736.06,0.53,0.28,0.68,nh4,fev1,4,sit_height,False,xgboost
hispanic,629,328.77,308.92,348.57,177374.55,158251.12,198978.19,0.66,0.61,0.70,nh4,fev1,4,sit_height,False,xgboost
other,63,360.21,296.83,421.88,196603.41,143334.61,253919.71,0.57,0.37,0.71,nh4,fev1,4,sit_height,False,xgboost
All,43260,329.07,326.50,331.56,184759.86,181593.36,187887.32,0.65,0.64,0.66,ukb_val,fev1,5,waist_circ,False,xgboost
white,40956,322.24,319.73,324.90,177144.47,173988.78,180264.08,0.66,0.65,0.66,ukb_val,fev1,5,waist_circ,False,xgboost
black,589,496.02,466.94,525.48,386126.98,339498.78,437912.98,0.01,-0.15,0.16,ukb_val,fev1,5,waist_circ,False,xgboost
asian,1017,497.08,475.65,517.67,366133.56,333327.69,405806.55,0.06,-0.06,0.17,ukb_val,fev1,5,waist_circ,False,xgboost
other,698,343.86,322.52,364.70,198717.85,174179.13,226211.47,0.58,0.52,0.64,ukb_val,fev1,5,waist_circ,False,xgboost
All,3354,364.18,354.73,372.92,214351.04,204059.63,224720.78,0.63,0.61,0.65,nh,fev1,5,waist_circ,False,xgboost
white,1330,364.39,349.10,380.10,212694.57,195580.32,230849.03,0.67,0.64,0.69,nh,fev1,5,waist_circ,False,xgboost
black,739,350.74,330.17,372.11,207644.79,184469.19,231211.07,0.56,0.50,0.62,nh,fev1,5,waist_circ,False,xgboost
asian,88,363.30,307.37,423.71,210707.22,152334.00,277829.85,0.52,0.30,0.67,nh,fev1,5,waist_circ,False,xgboost
hispanic,1049,372.59,355.83,390.22,221512.44,203204.27,240400.91,0.57,0.52,0.61,nh,fev1,5,waist_circ,False,xgboost
other,148,373.24,329.84,418.84,217574.66,168472.67,270768.57,0.54,0.39,0.66,nh,fev1,5,waist_circ,False,xgboost
All,1569,360.28,347.04,374.59,209501.43,194888.92,224366.28,0.64,0.61,0.67,nh3,fev1,5,waist_circ,False,xgboost
white,697,347.37,326.26,369.07,197871.60,175360.88,223837.79,0.68,0.65,0.71,nh3,fev1,5,waist_circ,False,xgboost
black,367,348.58,318.71,378.63,202086.34,170629.95,237384.69,0.62,0.54,0.69,nh3,fev1,5,waist_circ,False,xgboost
hispanic,420,388.24,360.51,416.46,233220.93,204006.07,263729.88,0.53,0.45,0.59,nh3,fev1,5,waist_circ,False,xgboost
other,85,378.43,320.43,437.11,221484.64,162061.53,290328.85,0.52,0.26,0.71,nh3,fev1,5,waist_circ,False,xgboost
All,1785,367.75,354.55,380.53,219076.01,204378.70,233818.52,0.62,0.59,0.65,nh4,fev1,5,waist_circ,False,xgboost
white,633,383.39,360.64,405.53,229686.75,203602.92,257187.85,0.65,0.60,0.69,nh4,fev1,5,waist_circ,False,xgboost
black,372,352.26,323.15,381.80,213090.16,183106.60,245461.52,0.48,0.36,0.58,nh4,fev1,5,waist_circ,False,xgboost
asian,88,363.30,307.37,423.71,210707.22,152334.00,277829.85,0.52,0.30,0.67,nh4,fev1,5,waist_circ,False,xgboost
hispanic,629,361.42,339.74,383.13,213000.12,190883.41,235779.90,0.59,0.54,0.64,nh4,fev1,5,waist_circ,False,xgboost
other,63,367.20,299.66,443.79,213575.79,143295.31,306839.63,0.54,0.32,0.70,nh4,fev1,5,waist_circ,False,xgboost
All,43260,324.99,322.47,327.43,179956.54,176775.28,183073.44,0.66,0.65,0.66,ukb_val,fev1,6,immigrant,False,xgboost
white,40956,322.72,320.13,325.40,177407.68,174263.41,180629.52,0.66,0.65,0.66,ukb_val,fev1,6,immigrant,False,xgboost
black,589,401.99,375.25,431.08,275867.24,235727.60,322183.91,0.29,0.16,0.41,ukb_val,fev1,6,immigrant,False,xgboost
asian,1017,368.86,350.59,388.55,230086.01,200949.40,270959.78,0.41,0.34,0.47,ukb_val,fev1,6,immigrant,False,xgboost
other,698,330.93,310.65,350.37,179186.20,157325.44,201962.84,0.62,0.56,0.68,ukb_val,fev1,6,immigrant,False,xgboost
All,3354,391.69,381.64,401.91,246019.89,234843.90,258284.61,0.57,0.55,0.60,nh,fev1,6,immigrant,False,xgboost
white,1330,357.41,342.98,372.79,205313.34,189920.87,222070.20,0.68,0.65,0.70,nh,fev1,6,immigrant,False,xgboost
black,739,362.00,341.73,382.26,214909.34,193452.45,238043.41,0.54,0.48,0.60,nh,fev1,6,immigrant,False,xgboost
asian,88,334.11,279.05,392.55,182477.67,130862.91,243316.98,0.59,0.41,0.71,nh,fev1,6,immigrant,False,xgboost
hispanic,1049,463.02,441.76,483.37,325054.03,300006.39,350071.69,0.37,0.30,0.43,nh,fev1,6,immigrant,False,xgboost
other,148,376.37,325.35,427.94,244408.75,179473.66,318405.84,0.49,0.33,0.61,nh,fev1,6,immigrant,False,xgboost
All,1569,373.85,359.68,389.07,230028.34,213670.73,247060.91,0.60,0.57,0.64,nh3,fev1,6,immigrant,False,xgboost
white,697,341.32,320.32,361.93,192378.78,169930.03,217002.43,0.69,0.66,0.72,nh3,fev1,6,immigrant,False,xgboost
black,367,368.24,339.91,398.25,220426.72,187902.93,256884.63,0.58,0.50,0.66,nh3,fev1,6,immigrant,False,xgboost
hispanic,420,430.69,399.25,466.36,294216.11,256804.07,336114.70,0.40,0.31,0.49,nh3,fev1,6,immigrant,False,xgboost
other,85,382.38,313.32,456.70,262602.52,174712.49,371321.92,0.44,0.18,0.61,nh3,fev1,6,immigrant,False,xgboost
All,1785,407.35,393.43,422.02,260240.31,244483.48,277179.45,0.55,0.51,0.58,nh4,fev1,6,immigrant,False,xgboost
white,633,375.31,353.18,398.25,220114.06,196947.55,244648.24,0.66,0.62,0.70,nh4,fev1,6,immigrant,False,xgboost
black,372,355.39,327.21,383.25,209470.24,179317.74,241648.96,0.49,0.38,0.59,nh4,fev1,6,immigrant,False,xgboost
asian,88,334.11,279.05,392.55,182477.67,130862.91,243316.98,0.59,0.41,0.71,nh4,fev1,6,immigrant,False,xgboost
hispanic,629,483.67,457.78,511.68,344728.97,312254.57,380251.39,0.34,0.25,0.41,nh4,fev1,6,immigrant,False,xgboost
other,63,368.55,301.49,443.24,220288.88,137109.84,326263.60,0.53,0.29,0.71,nh4,fev1,6,immigrant,False,xgboost
All,43260,324.81,322.27,327.21,179810.08,176689.82,182913.74,0.66,0.65,0.66,ukb_val,fev1,7,inc_pov_bin,False,xgboost
white,40956,322.60,319.94,325.29,177271.98,173989.84,180450.66,0.66,0.65,0.66,ukb_val,fev1,7,inc_pov_bin,False,xgboost
black,589,399.77,372.82,429.38,275673.94,234835.38,321724.13,0.29,0.16,0.41,ukb_val,fev1,7,inc_pov_bin,False,xgboost
