group,n,mae,mae_ci_lower,mae_ci_upper,mse,mse_ci_lower,mse_ci_upper,r2,r2_ci_lower,r2_ci_upper,set,target,n_cov,cov,race_adj,model
other,698,408.38,384.63,437.02,283147.81,250631.14,323399.64,0.64,0.59,0.68,ukb_val,fvc,8,inc_pov_bin,True,xgboost
All,3354,483.84,471.35,496.18,377619.88,358932.59,396580.35,0.60,0.57,0.62,nh,fvc,8,inc_pov_bin,True,xgboost
white,1330,439.77,421.07,458.47,318262.16,289557.50,346318.31,0.69,0.67,0.72,nh,fvc,8,inc_pov_bin,True,xgboost
black,739,425.61,400.03,450.63,299890.78,265060.18,336266.33,0.60,0.55,0.64,nh,fvc,8,inc_pov_bin,True,xgboost
asian,88,468.89,391.68,553.92,371933.08,265445.79,495524.82,0.50,0.36,0.62,nh,fvc,8,inc_pov_bin,True,xgboost
hispanic,1049,583.13,558.10,607.63,509079.45,469946.25,547686.03,0.37,0.31,0.43,nh,fvc,8,inc_pov_bin,True,xgboost
other,148,480.42,420.06,541.56,380710.62,295980.45,472510.73,0.48,0.33,0.61,nh,fvc,8,inc_pov_bin,True,xgboost
All,1569,469.09,451.29,487.97,358790.97,333347.95,386527.64,0.62,0.59,0.65,nh3,fvc,8,inc_pov_bin,True,xgboost
white,697,427.11,401.22,454.75,305256.79,265861.57,347242.17,0.69,0.66,0.73,nh3,fvc,8,inc_pov_bin,True,xgboost
black,367,443.26,408.95,473.80,318110.57,267922.01,366193.08,0.63,0.56,0.69,nh3,fvc,8,inc_pov_bin,True,xgboost
hispanic,420,550.85,512.99,591.14,467248.77,410750.87,528884.04,0.40,0.31,0.49,nh3,fvc,8,inc_pov_bin,True,xgboost
other,85,520.49,443.34,601.35,434286.19,329387.75,558402.37,0.39,0.14,0.58,nh3,fvc,8,inc_pov_bin,True,xgboost
All,1785,496.96,478.85,513.86,394592.12,367225.64,419762.04,0.58,0.55,0.61,nh4,fvc,8,inc_pov_bin,True,xgboost
white,633,453.35,426.91,482.55,332184.76,293008.31,373675.44,0.69,0.64,0.73,nh4,fvc,8,inc_pov_bin,True,xgboost
black,372,407.67,374.77,443.85,280866.33,234136.89,329100.64,0.55,0.46,0.62,nh4,fvc,8,inc_pov_bin,True,xgboost
asian,88,468.89,391.68,553.92,371933.08,265445.79,495524.82,0.50,0.36,0.62,nh4,fvc,8,inc_pov_bin,True,xgboost
hispanic,629,603.86,570.79,637.74,535900.06,484128.34,589366.62,0.35,0.27,0.42,nh4,fvc,8,inc_pov_bin,True,xgboost
other,63,426.28,344.99,516.39,309030.69,200725.93,445855.60,0.57,0.35,0.73,nh4,fvc,8,inc_pov_bin,True,xgboost
All,43260,399.53,396.55,402.60,273088.26,268401.02,278011.03,0.68,0.68,0.69,ukb_val,fvc,9,hs_grad,True,xgboost
white,40956,400.01,396.88,403.23,273306.44,268349.02,278359.16,0.68,0.67,0.68,ukb_val,fvc,9,hs_grad,True,xgboost
black,589,396.68,370.15,425.24,283871.73,240912.57,334639.24,0.53,0.46,0.60,ukb_val,fvc,9,hs_grad,True,xgboost
asian,1017,371.81,351.40,392.70,251019.28,210646.33,304985.09,0.58,0.53,0.62,ukb_val,fvc,9,hs_grad,True,xgboost
other,698,412.32,388.74,440.20,284030.48,252802.86,322807.37,0.64,0.59,0.68,ukb_val,fvc,9,hs_grad,True,xgboost
All,3354,490.16,477.19,502.81,388861.07,369979.81,407738.46,0.59,0.56,0.61,nh,fvc,9,hs_grad,True,xgboost
white,1330,438.93,419.79,457.95,318228.91,290726.35,346274.78,0.69,0.67,0.72,nh,fvc,9,hs_grad,True,xgboost
black,739,435.47,410.03,461.32,310527.51,276278.91,346790.13,0.58,0.53,0.63,nh,fvc,9,hs_grad,True,xgboost
asian,88,460.00,382.84,543.94,364877.42,264251.46,477903.09,0.51,0.37,0.62,nh,fvc,9,hs_grad,True,xgboost
hispanic,1049,597.66,571.73,622.99,538843.86,496760.56,582632.61,0.33,0.27,0.40,nh,fvc,9,hs_grad,True,xgboost
