group,n,mae,mae_ci_lower,mae_ci_upper,mse,mse_ci_lower,mse_ci_upper,r2,r2_ci_lower,r2_ci_upper,set,target,n_cov,cov,race_adj,model
All,1569,203.11,192.75,215.21,99707.23,87088.16,113548.40,0.89,0.88,0.91,nh3,fvc,7,immigrant,True,xgboost
white,697,200.83,183.90,220.28,96601.74,79221.06,115302.52,0.90,0.88,0.92,nh3,fvc,7,immigrant,True,xgboost
black,367,198.81,174.12,225.65,99177.94,68613.21,142883.26,0.88,0.83,0.92,nh3,fvc,7,immigrant,True,xgboost
hispanic,420,201.49,179.17,226.48,97075.58,73354.06,125908.94,0.88,0.84,0.91,nh3,fvc,7,immigrant,True,xgboost
other,85,247.97,191.53,313.74,137235.05,81399.46,203333.34,0.81,0.68,0.89,nh3,fvc,7,immigrant,True,xgboost
All,1785,213.79,202.76,225.62,109100.39,96158.14,124534.89,0.88,0.87,0.90,nh4,fvc,7,immigrant,True,xgboost
white,633,218.55,199.18,240.85,121397.50,94379.39,152666.18,0.89,0.86,0.91,nh4,fvc,7,immigrant,True,xgboost
black,372,208.87,183.57,235.89,110109.22,81313.19,143304.12,0.82,0.77,0.87,nh4,fvc,7,immigrant,True,xgboost
asian,88,194.72,156.72,242.09,77552.04,46259.29,118158.57,0.89,0.83,0.94,nh4,fvc,7,immigrant,True,xgboost
hispanic,629,207.63,191.27,223.97,95455.06,79155.47,112660.51,0.88,0.86,0.91,nh4,fvc,7,immigrant,True,xgboost
other,63,276.45,211.76,346.76,150427.81,86881.24,229385.23,0.79,0.65,0.89,nh4,fvc,7,immigrant,True,xgboost
All,1007,422.88,402.44,442.73,295265.24,266957.55,324583.15,0.67,0.63,0.70,nh_val,fvc,8,inc_pov_bin,True,xgboost
white,399,425.84,389.06,464.33,312754.27,261031.48,371948.86,0.69,0.63,0.74,nh_val,fvc,8,inc_pov_bin,True,xgboost
black,222,434.88,388.29,482.62,308627.60,240558.80,384433.27,0.47,0.33,0.58,nh_val,fvc,8,inc_pov_bin,True,xgboost
asian,26,335.09,235.92,439.87,177832.52,93545.21,275001.60,0.48,0.06,0.72,nh_val,fvc,8,inc_pov_bin,True,xgboost
hispanic,315,410.42,378.15,445.03,266888.45,226166.93,311340.53,0.68,0.63,0.73,nh_val,fvc,8,inc_pov_bin,True,xgboost
other,45,469.57,379.94,561.62,320590.77,223471.27,433804.33,0.58,0.37,0.72,nh_val,fvc,8,inc_pov_bin,True,xgboost
All,144198,491.11,489.01,493.19,403814.66,400008.78,407229.43,0.52,0.52,0.53,ukb,fvc,8,inc_pov_bin,True,xgboost
white,136520,490.59,488.44,492.87,403767.76,400021.73,407795.91,0.52,0.51,0.52,ukb,fvc,8,inc_pov_bin,True,xgboost
black,1963,458.50,440.97,474.66,351575.07,325424.80,378545.92,0.42,0.37,0.48,ukb,fvc,8,inc_pov_bin,True,xgboost
asian,3389,490.28,477.45,503.49,380253.89,358990.57,404055.93,0.38,0.34,0.42,ukb,fvc,8,inc_pov_bin,True,xgboost
other,2326,552.74,534.87,570.74,489572.14,458714.54,521620.54,0.39,0.34,0.43,ukb,fvc,8,inc_pov_bin,True,xgboost
All,1569,198.80,187.97,210.89,97248.08,84996.15,110484.18,0.90,0.88,0.91,nh3,fvc,8,inc_pov_bin,True,xgboost
white,697,199.71,183.05,218.00,97167.83,79923.22,116625.01,0.90,0.88,0.92,nh3,fvc,8,inc_pov_bin,True,xgboost
black,367,199.00,174.32,223.20,97095.26,70298.18,131318.37,0.89,0.84,0.92,nh3,fvc,8,inc_pov_bin,True,xgboost
hispanic,420,195.09,172.68,220.39,95105.27,70913.25,123901.80,0.88,0.84,0.91,nh3,fvc,8,inc_pov_bin,True,xgboost
other,85,208.97,160.55,264.15,105435.79,56386.28,163026.84,0.85,0.76,0.92,nh3,fvc,8,inc_pov_bin,True,xgboost
All,1785,215.06,203.88,227.46,111971.84,97985.70,127207.74,0.88,0.86,0.90,nh4,fvc,8,inc_pov_bin,True,xgboost
white,633,217.36,197.17,240.10,124837.24,94601.02,159310.71,0.88,0.85,0.91,nh4,fvc,8,inc_pov_bin,True,xgboost
black,372,219.76,193.80,247.50,120327.04,86622.83,157574.92,0.81,0.75,0.86,nh4,fvc,8,inc_pov_bin,True,xgboost
asian,88,190.18,151.98,235.10,74317.94,46311.46,111784.93,0.90,0.84,0.94,nh4,fvc,8,inc_pov_bin,True,xgboost
hispanic,629,208.47,192.03,225.42,96550.20,80281.58,113998.78,0.88,0.86,0.90,nh4,fvc,8,inc_pov_bin,True,xgboost
other,63,260.86,198.83,322.02,132005.11,77271.50,194684.24,0.81,0.70,0.90,nh4,fvc,8,inc_pov_bin,True,xgboost
All,1007,427.81,408.25,447.51,296566.35,269653.76,325309.05,0.67,0.63,0.70,nh_val,fvc,9,hs_grad,True,xgboost
white,399,439.15,405.72,475.23,314430.81,265922.59,367599.35,0.69,0.64,0.74,nh_val,fvc,9,hs_grad,True,xgboost
black,222,429.90,386.33,478.14,300656.99,238762.01,373557.13,0.49,0.35,0.60,nh_val,fvc,9,hs_grad,True,xgboost
asian,26,357.01,245.51,471.51,208089.58,109251.36,321438.91,0.38,-0.18,0.72,nh_val,fvc,9,hs_grad,True,xgboost
hispanic,315,404.27,372.00,438.94,262946.91,222894.56,306231.55,0.69,0.63,0.74,nh_val,fvc,9,hs_grad,True,xgboost
other,45,527.36,424.70,625.34,398680.28,286230.22,530590.73,0.48,0.20,0.65,nh_val,fvc,9,hs_grad,True,xgboost
All,144198,481.19,479.04,483.27,390080.89,386337.83,393730.53,0.54,0.53,0.54,ukb,fvc,9,hs_grad,True,xgboost
white,136520,480.38,478.28,482.50,389485.81,385874.30,393272.38,0.53,0.53,0.54,ukb,fvc,9,hs_grad,True,xgboost
black,1963,450.07,433.61,465.91,344245.27,317385.08,371231.10,0.44,0.38,0.49,ukb,fvc,9,hs_grad,True,xgboost
asian,3389,490.63,477.27,504.08,387351.13,366811.38,410893.96,0.37,0.33,0.41,ukb,fvc,9,hs_grad,True,xgboost
other,2326,541.87,525.19,559.73,469278.63,440554.68,501636.05,0.41,0.36,0.46,ukb,fvc,9,hs_grad,True,xgboost
All,1569,198.50,187.52,210.95,98495.64,85835.10,112669.62,0.90,0.88,0.91,nh3,fvc,9,hs_grad,True,xgboost
white,697,201.45,184.30,220.41,99249.15,81961.66,118348.15,0.90,0.88,0.92,nh3,fvc,9,hs_grad,True,xgboost
black,367,198.89,173.58,225.23,99218.09,69633.79,140172.24,0.88,0.83,0.92,nh3,fvc,9,hs_grad,True,xgboost
hispanic,420,187.20,164.63,210.63,90587.43,68631.07,118145.09,0.88,0.85,0.91,nh3,fvc,9,hs_grad,True,xgboost
other,85,228.28,174.54,289.10,127108.54,75157.15,186418.33,0.82,0.71,0.90,nh3,fvc,9,hs_grad,True,xgboost
All,1785,208.08,197.40,220.49,108545.44,94883.77,123627.41,0.88,0.87,0.90,nh4,fvc,9,hs_grad,True,xgboost
white,633,213.98,194.27,236.01,120102.70,92231.16,152514.65,0.89,0.86,0.91,nh4,fvc,9,hs_grad,True,xgboost
black,372,210.83,184.99,238.05,112108.84,83840.66,142596.61,0.82,0.77,0.87,nh4,fvc,9,hs_grad,True,xgboost
asian,88,192.66,151.13,240.21,83919.60,51407.63,124438.23,0.89,0.82,0.94,nh4,fvc,9,hs_grad,True,xgboost
hispanic,629,197.60,181.07,214.51,93095.86,75479.19,111102.60,0.89,0.86,0.91,nh4,fvc,9,hs_grad,True,xgboost
other,63,255.22,191.15,329.60,152083.13,82886.31,241821.22,0.79,0.66,0.89,nh4,fvc,9,hs_grad,True,xgboost
All,1007,436.21,415.72,457.13,305318.58,275855.04,334687.43,0.66,0.62,0.69,nh_val,fvc,10,smoke_exposure,True,xgboost
white,399,444.99,410.07,479.69,319619.11,269115.23,376131.88,0.68,0.62,0.74,nh_val,fvc,10,smoke_exposure,True,xgboost
black,222,443.70,398.61,493.31,309366.54,244244.80,384969.92,0.47,0.33,0.58,nh_val,fvc,10,smoke_exposure,True,xgboost
asian,26,363.17,259.03,467.26,194396.27,110695.33,282935.90,0.41,-0.16,0.72,nh_val,fvc,10,smoke_exposure,True,xgboost
hispanic,315,413.83,379.04,450.33,282005.37,237806.04,330097.70,0.66,0.60,0.72,nh_val,fvc,10,smoke_exposure,True,xgboost
other,45,513.49,424.58,608.92,364224.09,263071.41,478292.38,0.52,0.30,0.67,nh_val,fvc,10,smoke_exposure,True,xgboost
All,144198,491.17,488.98,493.25,404116.61,400247.73,407665.56,0.52,0.52,0.53,ukb,fvc,10,smoke_exposure,True,xgboost
white,136520,491.10,488.87,493.28,404781.86,400932.28,408709.17,0.51,0.51,0.52,ukb,fvc,10,smoke_exposure,True,xgboost
black,1963,455.74,439.74,471.96,349864.69,323694.09,377285.20,0.43,0.37,0.48,ukb,fvc,10,smoke_exposure,True,xgboost
asian,3389,480.51,467.84,493.04,368741.28,348543.15,390268.84,0.40,0.36,0.44,ukb,fvc,10,smoke_exposure,True,xgboost
other,2326,541.31,524.29,558.42,466561.99,437610.19,497355.76,0.42,0.37,0.46,ukb,fvc,10,smoke_exposure,True,xgboost
All,1569,200.99,189.23,213.52,99967.46,86482.21,114308.86,0.89,0.88,0.91,nh3,fvc,10,smoke_exposure,True,xgboost
white,697,198.11,181.77,217.16,94128.57,76297.53,114481.47,0.91,0.88,0.92,nh3,fvc,10,smoke_exposure,True,xgboost
black,367,204.36,178.00,229.73,105343.61,73653.48,146784.15,0.88,0.82,0.92,nh3,fvc,10,smoke_exposure,True,xgboost
hispanic,420,197.80,174.02,222.93,99962.99,74499.60,130592.55,0.87,0.84,0.91,nh3,fvc,10,smoke_exposure,True,xgboost
other,85,221.68,170.45,279.97,117160.82,65633.94,176327.34,0.84,0.73,0.91,nh3,fvc,10,smoke_exposure,True,xgboost
All,1785,212.46,201.21,224.30,112059.21,98035.88,127394.27,0.88,0.86,0.90,nh4,fvc,10,smoke_exposure,True,xgboost
white,633,219.54,198.16,243.24,128848.67,99704.42,162038.09,0.88,0.85,0.91,nh4,fvc,10,smoke_exposure,True,xgboost
black,372,207.16,182.09,233.86,107697.49,79286.55,140716.34,0.83,0.77,0.87,nh4,fvc,10,smoke_exposure,True,xgboost
asian,88,193.42,150.82,239.36,78586.52,49490.48,113397.44,0.89,0.83,0.94,nh4,fvc,10,smoke_exposure,True,xgboost
hispanic,629,204.15,186.20,221.85,98178.24,79353.11,117958.97,0.88,0.85,0.90,nh4,fvc,10,smoke_exposure,True,xgboost
other,63,276.12,216.86,339.70,145321.43,86138.32,213922.82,0.80,0.68,0.88,nh4,fvc,10,smoke_exposure,True,xgboost
All,1007,383.48,365.47,403.95,242025.52,219133.26,266910.33,0.73,0.70,0.76,nh_val,fvc,4,GLI global,True,gli_global
white,399,398.85,368.26,430.71,262215.66,219842.62,306559.50,0.74,0.70,0.78,nh_val,fvc,4,GLI global,True,gli_global
black,222,380.46,337.49,422.07,247637.91,195126.81,306818.26,0.58,0.47,0.66,nh_val,fvc,4,GLI global,True,gli_global
asian,26,328.68,219.76,448.26,187697.78,88314.94,303506.45,0.46,0.05,0.72,nh_val,fvc,4,GLI global,True,gli_global
hispanic,315,355.36,325.75,385.77,200897.75,167746.05,236351.72,0.76,0.72,0.80,nh_val,fvc,4,GLI global,True,gli_global
other,45,487.15,397.75,583.36,342205.00,241786.06,460017.33,0.55,0.25,0.73,nh_val,fvc,4,GLI global,True,gli_global
All,144198,423.18,421.21,424.96,304875.70,301985.47,307725.70,0.64,0.64,0.64,ukb,fvc,4,GLI global,True,gli_global
white,136520,420.78,418.96,422.82,302152.47,299230.12,305223.23,0.64,0.63,0.64,ukb,fvc,4,GLI global,True,gli_global
black,1963,438.23,423.06,453.35,310720.20,290317.03,335590.38,0.49,0.45,0.53,ukb,fvc,4,GLI global,True,gli_global
asian,3389,456.46,444.28,468.41,331246.51,312430.18,350816.13,0.46,0.43,0.49,ukb,fvc,4,GLI global,True,gli_global
other,2326,504.54,487.68,521.23,424365.34,396932.68,453880.99,0.47,0.43,0.51,ukb,fvc,4,GLI global,True,gli_global
All,1569,402.22,386.85,417.83,268422.38,247267.89,289205.81,0.71,0.69,0.74,nh3,fvc,4,GLI global,True,gli_global
white,697,386.23,362.45,410.58,249055.40,219721.36,279753.72,0.75,0.72,0.78,nh3,fvc,4,GLI global,True,gli_global
black,367,427.56,391.50,463.41,312419.60,262405.39,363931.36,0.63,0.57,0.69,nh3,fvc,4,GLI global,True,gli_global
hispanic,420,376.35,348.74,405.07,229132.31,196391.03,265278.64,0.71,0.66,0.75,nh3,fvc,4,GLI global,True,gli_global
other,85,557.51,481.99,630.14,438061.54,341752.55,533951.70,0.38,0.10,0.60,nh3,fvc,4,GLI global,True,gli_global
All,1785,381.43,368.25,395.64,237810.85,221848.11,255819.02,0.75,0.72,0.77,nh4,fvc,4,GLI global,True,gli_global
white,633,392.86,369.18,418.49,252170.21,223575.62,284714.20,0.76,0.73,0.79,nh4,fvc,4,GLI global,True,gli_global
black,372,389.40,356.95,423.24,252726.43,211623.08,297946.76,0.60,0.52,0.66,nh4,fvc,4,GLI global,True,gli_global
asian,88,408.29,343.76,478.48,275900.90,202337.44,365290.27,0.63,0.51,0.72,nh4,fvc,4,GLI global,True,gli_global
hispanic,629,354.43,334.78,374.25,203011.33,179832.47,225603.38,0.75,0.72,0.78,nh4,fvc,4,GLI global,True,gli_global
other,63,448.77,378.51,522.80,294051.60,213204.79,381406.92,0.59,0.39,0.73,nh4,fvc,4,GLI global,True,gli_global
All,1007,508.95,484.71,535.51,424341.09,383056.33,469008.87,0.53,0.47,0.58,nh_val,fvc,3,height,False,xgboost
white,399,498.55,457.68,541.35,419431.29,354707.75,495076.51,0.59,0.51,0.65,nh_val,fvc,3,height,False,xgboost
black,222,611.23,548.20,671.89,591775.22,477911.32,710212.61,-0.01,-0.30,0.22,nh_val,fvc,3,height,False,xgboost
