group,n,mae,mse,r2,set,target,n_cov,cov,race_adj
All,471,444.04,325231.22,0.64,nh3_val,fvc,7,Immigrant,True
white,209,439.39,341179.90,0.64,nh3_val,fvc,7,Immigrant,True
black,110,456.30,310293.55,0.63,nh3_val,fvc,7,Immigrant,True
hispanic,126,422.64,287824.26,0.63,nh3_val,fvc,7,Immigrant,True
other,26,533.17,441506.04,0.32,nh3_val,fvc,7,Immigrant,True
All,144198,513.45,439566.00,0.48,ukb,fvc,7,Immigrant,True
white,136520,513.61,440388.41,0.47,ukb,fvc,7,Immigrant,True
black,1963,484.34,390725.25,0.36,ukb,fvc,7,Immigrant,True
asian,3389,513.13,419118.46,0.32,ukb,fvc,7,Immigrant,True
other,2326,529.25,462307.31,0.42,ukb,fvc,7,Immigrant,True
All,3354,377.36,340113.29,0.64,nh,fvc,7,Immigrant,True
white,1330,357.68,309324.14,0.70,nh,fvc,7,Immigrant,True
black,739,431.84,473089.69,0.36,nh,fvc,7,Immigrant,True
asian,88,610.44,645976.44,0.15,nh,fvc,7,Immigrant,True
hispanic,1049,342.26,259029.57,0.68,nh,fvc,7,Immigrant,True
other,148,392.41,345659.66,0.54,nh,fvc,7,Immigrant,True
All,1785,558.89,549783.33,0.41,nh4,fvc,7,Immigrant,True
white,633,565.71,532916.97,0.50,nh4,fvc,7,Immigrant,True
black,372,690.56,845036.83,-0.34,nh4,fvc,7,Immigrant,True
asian,88,610.44,645976.44,0.15,nh4,fvc,7,Immigrant,True
hispanic,629,457.99,371283.19,0.55,nh4,fvc,7,Immigrant,True
other,63,648.40,623651.44,0.16,nh4,fvc,7,Immigrant,True
All,471,466.69,369115.91,0.59,nh3_val,fvc,6,Immigrant,False
white,209,482.53,406596.31,0.57,nh3_val,fvc,6,Immigrant,False
black,110,506.75,389195.57,0.54,nh3_val,fvc,6,Immigrant,False
hispanic,126,396.06,273892.45,0.65,nh3_val,fvc,6,Immigrant,False
other,26,512.05,444346.25,0.31,nh3_val,fvc,6,Immigrant,False
All,144198,517.79,447777.63,0.47,ukb,fvc,6,Immigrant,False
white,136520,511.05,437889.75,0.47,ukb,fvc,6,Immigrant,False
black,1963,656.43,662404.91,-0.08,ukb,fvc,6,Immigrant,False
asian,3389,688.19,694554.92,-0.13,ukb,fvc,6,Immigrant,False
other,2326,547.99,487438.84,0.39,ukb,fvc,6,Immigrant,False
All,3354,408.15,385945.22,0.59,nh,fvc,6,Immigrant,False
white,1330,375.47,339843.85,0.67,nh,fvc,6,Immigrant,False
black,739,507.15,586408.43,0.21,nh,fvc,6,Immigrant,False
asian,88,670.30,756265.66,0.01,nh,fvc,6,Immigrant,False
hispanic,1049,362.54,277379.95,0.66,nh,fvc,6,Immigrant,False
other,148,374.89,348575.63,0.53,nh,fvc,6,Immigrant,False
All,1785,604.91,623113.75,0.34,nh4,fvc,6,Immigrant,False
white,633,583.19,574144.30,0.46,nh4,fvc,6,Immigrant,False
black,372,813.73,1044473.38,-0.65,nh4,fvc,6,Immigrant,False
asian,88,670.30,756265.66,0.01,nh4,fvc,6,Immigrant,False
hispanic,629,493.31,403831.73,0.51,nh4,fvc,6,Immigrant,False
other,63,613.02,630461.59,0.15,nh4,fvc,6,Immigrant,False
All,471,440.35,315395.24,0.65,nh3_val,fvc,8,Income:Poverty,True
white,209,444.40,338505.92,0.64,nh3_val,fvc,8,Income:Poverty,True
black,110,436.52,280462.31,0.67,nh3_val,fvc,8,Income:Poverty,True
hispanic,126,422.03,287756.41,0.63,nh3_val,fvc,8,Income:Poverty,True
other,26,512.75,411356.07,0.36,nh3_val,fvc,8,Income:Poverty,True
All,144198,515.99,441432.19,0.48,ukb,fvc,8,Income:Poverty,True
white,136520,516.40,442572.82,0.47,ukb,fvc,8,Income:Poverty,True
black,1963,485.21,389498.91,0.36,ukb,fvc,8,Income:Poverty,True
asian,3389,509.11,417372.67,0.32,ukb,fvc,8,Income:Poverty,True
other,2326,528.20,453368.77,0.43,ukb,fvc,8,Income:Poverty,True
All,3354,365.71,314955.30,0.67,nh,fvc,8,Income:Poverty,True
white,1330,348.32,285979.68,0.72,nh,fvc,8,Income:Poverty,True
black,739,408.06,416784.10,0.44,nh,fvc,8,Income:Poverty,True
asian,88,619.37,686669.11,0.10,nh,fvc,8,Income:Poverty,True
hispanic,1049,335.02,245972.59,0.70,nh,fvc,8,Income:Poverty,True
other,148,377.19,334807.47,0.55,nh,fvc,8,Income:Poverty,True
All,1785,539.30,505444.07,0.46,nh4,fvc,8,Income:Poverty,True
white,633,543.59,484791.28,0.55,nh4,fvc,8,Income:Poverty,True
black,372,650.25,742316.48,-0.18,nh4,fvc,8,Income:Poverty,True
asian,88,619.37,686669.11,0.10,nh4,fvc,8,Income:Poverty,True
hispanic,629,449.31,350038.91,0.58,nh4,fvc,8,Income:Poverty,True
other,63,627.82,612725.27,0.17,nh4,fvc,8,Income:Poverty,True
All,471,472.92,370405.65,0.59,nh3_val,fvc,7,Income:Poverty,False
white,209,497.03,405914.57,0.57,nh3_val,fvc,7,Income:Poverty,False
black,110,524.72,419194.67,0.50,nh3_val,fvc,7,Income:Poverty,False
hispanic,126,383.41,250660.60,0.68,nh3_val,fvc,7,Income:Poverty,False
other,26,493.74,458856.55,0.29,nh3_val,fvc,7,Income:Poverty,False
All,144198,524.59,455487.97,0.46,ukb,fvc,7,Income:Poverty,False
white,136520,518.63,446675.90,0.46,ukb,fvc,7,Income:Poverty,False
black,1963,640.12,639770.99,-0.05,ukb,fvc,7,Income:Poverty,False
asian,3389,687.13,691766.25,-0.13,ukb,fvc,7,Income:Poverty,False
other,2326,539.66,472912.20,0.41,ukb,fvc,7,Income:Poverty,False
All,3354,409.66,391840.47,0.58,nh,fvc,7,Income:Poverty,False
white,1330,372.29,328910.48,0.68,nh,fvc,7,Income:Poverty,False
black,739,507.19,591543.51,0.21,nh,fvc,7,Income:Poverty,False
asian,88,658.12,777714.42,-0.02,nh,fvc,7,Income:Poverty,False
hispanic,1049,371.07,302387.58,0.63,nh,fvc,7,Income:Poverty,False
other,148,384.12,364783.18,0.51,nh,fvc,7,Income:Poverty,False
All,1785,603.43,633056.53,0.33,nh4,fvc,7,Income:Poverty,False
white,633,566.84,549916.89,0.49,nh4,fvc,7,Income:Poverty,False
black,372,807.92,1045446.72,-0.66,nh4,fvc,7,Income:Poverty,False
asian,88,658.12,777714.42,-0.02,nh4,fvc,7,Income:Poverty,False
hispanic,629,509.17,450013.75,0.46,nh4,fvc,7,Income:Poverty,False
other,63,628.37,658806.52,0.11,nh4,fvc,7,Income:Poverty,False
All,471,437.47,321903.58,0.65,nh3_val,fvc,9,High School Graduate,True
white,209,450.80,352248.05,0.63,nh3_val,fvc,9,High School Graduate,True
black,110,437.08,313267.52,0.63,nh3_val,fvc,9,High School Graduate,True
hispanic,126,401.21,262956.03,0.67,nh3_val,fvc,9,High School Graduate,True
other,26,507.76,400186.71,0.38,nh3_val,fvc,9,High School Graduate,True
All,144198,516.14,443491.97,0.48,ukb,fvc,9,High School Graduate,True
white,136520,516.46,444590.18,0.47,ukb,fvc,9,High School Graduate,True
black,1963,485.02,392317.39,0.36,ukb,fvc,9,High School Graduate,True
asian,3389,519.24,428446.58,0.30,ukb,fvc,9,High School Graduate,True
other,2326,519.41,444143.93,0.45,ukb,fvc,9,High School Graduate,True
All,3354,387.95,360896.36,0.62,nh,fvc,9,High School Graduate,True
white,1330,363.29,318938.28,0.69,nh,fvc,9,High School Graduate,True
black,739,437.26,499749.88,0.33,nh,fvc,9,High School Graduate,True
asian,88,659.25,767100.82,-0.01,nh,fvc,9,High School Graduate,True
hispanic,1049,361.53,282762.24,0.65,nh,fvc,9,High School Graduate,True
other,148,389.27,356897.76,0.52,nh,fvc,9,High School Graduate,True
All,1785,577.55,588892.14,0.37,nh4,fvc,9,High School Graduate,True
white,633,571.14,548670.66,0.49,nh4,fvc,9,High School Graduate,True
black,372,700.00,895713.98,-0.42,nh4,fvc,9,High School Graduate,True
asian,88,659.25,767100.82,-0.01,nh4,fvc,9,High School Graduate,True
hispanic,629,492.62,415070.93,0.50,nh4,fvc,9,High School Graduate,True
other,63,652.87,667839.06,0.10,nh4,fvc,9,High School Graduate,True
All,471,454.39,334043.03,0.63,nh3_val,fvc,8,High School Graduate,False
white,209,463.48,352653.52,0.63,nh3_val,fvc,8,High School Graduate,False
black,110,489.90,362894.36,0.57,nh3_val,fvc,8,High School Graduate,False
hispanic,126,392.27,253121.59,0.68,nh3_val,fvc,8,High School Graduate,False
other,26,532.15,454537.81,0.30,nh3_val,fvc,8,High School Graduate,False
All,144198,514.76,442136.43,0.48,ukb,fvc,8,High School Graduate,False
white,136520,508.79,433582.06,0.48,ukb,fvc,8,High School Graduate,False
black,1963,636.55,620228.86,-0.01,ukb,fvc,8,High School Graduate,False
asian,3389,670.40,664853.32,-0.08,ukb,fvc,8,High School Graduate,False
other,2326,535.44,469418.95,0.41,ukb,fvc,8,High School Graduate,False
All,3354,447.21,481442.73,0.49,nh,fvc,8,High School Graduate,False
white,1330,388.88,369477.92,0.64,nh,fvc,8,High School Graduate,False
black,739,559.29,756286.61,-0.02,nh,fvc,8,High School Graduate,False
asian,88,723.92,983465.72,-0.29,nh,fvc,8,High School Graduate,False
hispanic,1049,423.06,393767.39,0.51,nh,fvc,8,High School Graduate,False
other,148,418.31,438179.06,0.41,nh,fvc,8,High School Graduate,False
All,1785,680.10,811269.73,0.14,nh4,fvc,8,High School Graduate,False
white,633,613.93,653127.38,0.39,nh4,fvc,8,High School Graduate,False
black,372,922.58,1389638.74,-1.20,nh4,fvc,8,High School Graduate,False
asian,88,723.92,983465.72,-0.29,nh4,fvc,8,High School Graduate,False
hispanic,629,594.53,601798.87,0.27,nh4,fvc,8,High School Graduate,False
other,63,706.23,835948.40,-0.13,nh4,fvc,8,High School Graduate,False
All,471,436.58,311121.16,0.66,nh3_val,fvc,10,Smoke Exposure,True
white,209,449.69,346243.44,0.63,nh3_val,fvc,10,Smoke Exposure,True
black,110,436.01,285075.88,0.66,nh3_val,fvc,10,Smoke Exposure,True
hispanic,126,403.19,261311.94,0.67,nh3_val,fvc,10,Smoke Exposure,True
other,26,495.49,380366.78,0.41,nh3_val,fvc,10,Smoke Exposure,True
All,144198,519.10,445903.03,0.47,ukb,fvc,10,Smoke Exposure,True
white,136520,519.22,446733.60,0.46,ukb,fvc,10,Smoke Exposure,True
black,1963,491.06,401639.51,0.34,ukb,fvc,10,Smoke Exposure,True
asian,3389,528.18,438849.56,0.28,ukb,fvc,10,Smoke Exposure,True
other,2326,522.55,444786.96,0.44,ukb,fvc,10,Smoke Exposure,True
All,3354,371.68,332067.48,0.65,nh,fvc,10,Smoke Exposure,True
white,1330,359.01,300193.28,0.71,nh,fvc,10,Smoke Exposure,True
black,739,420.39,466094.44,0.37,nh,fvc,10,Smoke Exposure,True
asian,88,611.85,669917.71,0.12,nh,fvc,10,Smoke Exposure,True
hispanic,1049,331.02,245369.42,0.70,nh,fvc,10,Smoke Exposure,True
other,148,387.79,362893.20,0.51,nh,fvc,10,Smoke Exposure,True
All,1785,551.94,538773.25,0.43,nh4,fvc,10,Smoke Exposure,True
white,633,566.53,512585.84,0.52,nh4,fvc,10,Smoke Exposure,True
black,372,673.63,838487.76,-0.33,nh4,fvc,10,Smoke Exposure,True
asian,88,611.85,669917.71,0.12,nh4,fvc,10,Smoke Exposure,True
hispanic,629,446.04,354243.58,0.57,nh4,fvc,10,Smoke Exposure,True
other,63,660.34,691333.32,0.06,nh4,fvc,10,Smoke Exposure,True
All,471,465.83,358123.02,0.61,nh3_val,fvc,9,Smoke Exposure,False
white,209,472.82,373741.71,0.60,nh3_val,fvc,9,Smoke Exposure,False
black,110,513.60,399878.43,0.52,nh3_val,fvc,9,Smoke Exposure,False
hispanic,126,395.63,272073.56,0.65,nh3_val,fvc,9,Smoke Exposure,False
