target,group,cov,val,index,coef,std_err,t,p,ci_lower,ci_upper,mse,rss,n_vars
fev1,,"pm2p5_10, df=3",,sex[T.True],-1255.148006110935,18.285917805533085,-68.64014262008459,0.0,-1290.9880473004077,-1219.3079649214624,224987.24323275906,32442710499.67739,15
fev1,,"pm2p5_10, df=3",,race_1[T.True],-609.0432095235501,10.85455216570334,-56.10947372365279,0.0,-630.317919431432,-587.7684996156682,224987.24323275906,32442710499.67739,15
fev1,,"pm2p5_10, df=3",,race_2[T.True],-741.935188725492,8.291128325861264,-89.48543063931187,0.0,-758.1856380530153,-725.6847393979688,224987.24323275906,32442710499.67739,15
fev1,,"pm2p5_10, df=3",,race_3[T.True],-2.001629734201161e-12,1.4513980713191326e-13,-13.791045845761246,3.074090147267976e-43,-2.2861009169528355e-12,-1.7171585514494867e-12,224987.24323275906,32442710499.67739,15
fev1,,"pm2p5_10, df=3",,race_4[T.True],-303.392834686896,9.951426711256044,-30.487370654473974,1.7083129804591136e-203,-322.89743637101355,-283.8882330027784,224987.24323275906,32442710499.67739,15
fev1,,"pm2p5_10, df=3",,work_air[T.True],95.95527518264083,5.926921376683713,16.189733098219474,6.717570470345082e-59,84.33862522685712,107.57192513842455,224987.24323275906,32442710499.67739,15
fev1,,"pm2p5_10, df=3",,work_fumes[T.True],-27.24145116526566,7.9535134753404515,-3.4250839267107147,0.0006147805897602486,-42.83018199019446,-11.652720340336854,224987.24323275906,32442710499.67739,15
fev1,,"pm2p5_10, df=3",,work_breath_problems[T.True],-75.14050765451418,31.858926368350428,-2.3585386018896393,0.018348378210218588,-137.5833801117313,-12.697635197297075,224987.24323275906,32442710499.67739,15
fev1,,"pm2p5_10, df=3",,work_exhaust[T.True],16.009276039534495,10.458013953209885,1.5308141785965734,0.1258175182934188,-4.488226728946085,36.50677880801507,224987.24323275906,32442710499.67739,15
fev1,,"pm2p5_10, df=3",,age,-35.2348622158495,0.24564320460902078,-143.43918966507235,0.0,-35.716318091607484,-34.75340634009152,224987.24323275906,32442710499.67739,15
fev1,,"pm2p5_10, df=3",,sex[T.True]:age,5.131220824695206,0.31901394468641203,16.084628619413962,3.675267746054476e-58,4.505959733664952,5.756481915725461,224987.24323275906,32442710499.67739,15
fev1,,"pm2p5_10, df=3",,pm2p5,-46.85750854119221,6.648066672005873,-7.04829100744476,1.819361677969093e-12,-59.887589168753316,-33.827427913631105,224987.24323275906,32442710499.67739,15
fev1,,"pm2p5_10, df=3",,smoke_exposure,-37.30351713705128,4.41055921699081,-8.457774921907143,2.7502324460419755e-17,-45.948126922934044,-28.658907351168516,224987.24323275906,32442710499.67739,15
fev1,,"pm2p5_10, df=3",,pm10,-5.672028828154557,1.5066560786575163,-3.764647359474721,0.0001668504002983929,-8.625045269096642,-2.7190123872124707,224987.24323275906,32442710499.67739,15
fev1,,"pm2p5_10, df=3",,"bs(pm2p5_10, df=3)[0]",80.33732530821592,27.656528609406678,2.9048231772982236,0.003675164372643283,26.131070251166605,134.54358036526526,224987.24323275906,32442710499.67739,15
fev1,,"pm2p5_10, df=3",,"bs(pm2p5_10, df=3)[1]",339.39898375335326,106.42852979707916,3.188984987394496,0.0014280379778793186,130.8011473074215,547.996820199285,224987.24323275906,32442710499.67739,15
fev1,,"pm2p5_10, df=3",,"bs(pm2p5_10, df=3)[2]",465.324574309294,76.66146268252845,6.069862979738631,1.2833725822404257e-09,315.069607104111,615.579541514477,224987.24323275906,32442710499.67739,15
fvc,baseline,baseline,,Intercept,6680.752895502499,18.249868839214358,366.0712827232626,0.0,6644.983509600563,6716.5222814044355,375999.82421662036,54218422652.38822,1
fvc,baseline,baseline,,sex[T.True],-1524.3539008795278,23.62241162850779,-64.52998638970124,0.0,-1570.6533655452065,-1478.0544362138492,375999.82421662036,54218422652.38822,1
fvc,baseline,baseline,,race_1[T.True],-846.1837929923256,13.974205280539056,-60.55326768175857,0.0,-873.5729619642376,-818.7946240204136,375999.82421662036,54218422652.38822,1
fvc,baseline,baseline,,race_2[T.True],-1003.4130946387586,10.686565991716789,-93.8948110568455,0.0,-1024.3585549207996,-982.4676343567176,375999.82421662036,54218422652.38822,1
fvc,baseline,baseline,,race_3[T.True],-1.6815948958231752e-12,5.800773240610368e-14,-28.989150688576732,3.061649117323274e-184,-1.795288916531517e-12,-1.5679008751148334e-12,375999.82421662036,54218422652.38822,1
fvc,baseline,baseline,,race_4[T.True],-429.9389950611331,12.84147162455082,-33.48050812487559,8.122988156362361e-245,-455.1080282270226,-404.76996189524357,375999.82421662036,54218422652.38822,1
fvc,baseline,baseline,,age,-38.774557151168196,0.3171157848685157,-122.27255469873603,0.0,-39.39609788576153,-38.153016416574864,375999.82421662036,54218422652.38822,1
fvc,baseline,baseline,,sex[T.True]:age,4.819205534076256,0.412148554315752,11.692884722298952,1.4322792413631073e-31,4.011402430496263,5.62700863765625,375999.82421662036,54218422652.38822,1
fvc,,"height, df=3",,Intercept,4595.935026449613,78.46304758672827,58.57451587474406,0.0,4442.148988128549,4749.721064770678,285140.14711173275,41116638933.217636,8
fvc,,"height, df=3",,sex[T.True],-821.4771664260118,21.019317803952525,-39.082008944721274,0.0,-862.6746181271874,-780.2797147248361,285140.14711173275,41116638933.217636,8
fvc,,"height, df=3",,race_1[T.True],-758.22547474258,12.176429773488746,-62.26993370367347,0.0,-782.0910388947967,-734.3599105903633,285140.14711173275,41116638933.217636,8
fvc,,"height, df=3",,race_2[T.True],-714.6243830638521,9.419645081521445,-75.86531943392788,0.0,-733.0867031499599,-696.1620629777442,285140.14711173275,41116638933.217636,8
fvc,,"height, df=3",,race_3[T.True],-4.703113275464543e-13,4.4201625842539893e-14,-10.640136388237195,1.9827657613446793e-26,-5.569456494947646e-13,-3.83677005598144e-13,285140.14711173275,41116638933.217636,8
fvc,,"height, df=3",,race_4[T.True],-300.295746360586,11.201678253095078,-26.80810317664791,6.3623897608882474e-158,-322.25081660160095,-278.34067611957107,285140.14711173275,41116638933.217636,8
fvc,,"height, df=3",,age,-30.86366576019092,0.2797390627704826,-110.33019648569288,0.0,-31.411948850770194,-30.315382669611644,285140.14711173275,41116638933.217636,8
fvc,,"height, df=3",,sex[T.True]:age,3.669790844599431,0.36253845484627767,10.122487133552449,4.473339404120715e-24,2.959222565331118,4.380359123867745,285140.14711173275,41116638933.217636,8
fvc,,"height, df=3",,"bs(height, df=3)[0]",178.886114786108,146.87332794874516,1.217961881060763,0.2232404517486294,-108.98273475483899,466.754964327055,285140.14711173275,41116638933.217636,8
fvc,,"height, df=3",,"bs(height, df=3)[1]",1511.4409443120644,40.275219444722595,37.52781400450231,9.92634310630615e-307,1432.5023020923725,1590.3795865317563,285140.14711173275,41116638933.217636,8
fvc,,"height, df=3",,"bs(height, df=3)[2]",3429.6036082751984,107.5393979866901,31.89160133386345,2.0882826721407067e-222,3218.828491982077,3640.3787245683197,285140.14711173275,41116638933.217636,8
fvc,,"waist_circ, df=3",,Intercept,5917.904851444693,23.229826298973578,254.7545890046616,0.0,5872.374846334136,5963.43485655525,272565.77657926106,39303439851.176285,9
fvc,,"waist_circ, df=3",,sex[T.True],-986.7150510711683,20.466219553085764,-48.211886348223885,0.0,-1026.8284410230747,-946.601661119262,272565.77657926106,39303439851.176285,9
fvc,,"waist_circ, df=3",,race_1[T.True],-726.2953402553094,11.918779466878625,-60.93705670732716,0.0,-749.6559148482655,-702.9347656623532,272565.77657926106,39303439851.176285,9
fvc,,"waist_circ, df=3",,race_2[T.True],-700.754764259375,9.203706241354173,-76.13832361475615,0.0,-718.7938484441515,-682.7156800745984,272565.77657926106,39303439851.176285,9
fvc,,"waist_circ, df=3",,race_3[T.True],-1.7011357999050323e-12,1.1886030185508994e-12,-1.4312060236722213,0.1523733450324864,-4.030774464118251e-12,6.285028643081862e-13,272565.77657926106,39303439851.176285,9
fvc,,"waist_circ, df=3",,race_4[T.True],-286.3604077205625,10.951855631616747,-26.147204396474415,2.3842003113280862e-150,-307.82583051193416,-264.8949849291908,272565.77657926106,39303439851.176285,9
fvc,,"waist_circ, df=3",,age,-29.855254146863146,0.2730095946782822,-109.3560619437018,0.0,-30.390347611659415,-29.320160682066877,272565.77657926106,39303439851.176285,9
fvc,,"waist_circ, df=3",,sex[T.True]:age,4.716783748268766,0.3523297890844311,13.387411153981226,7.578053575036152e-41,4.02622425414442,5.407343242393111,272565.77657926106,39303439851.176285,9
fvc,,"waist_circ, df=3",,height,449.24929552109677,2.001376728770203,224.47013051718127,0.0,445.3266362848078,453.1719547573857,272565.77657926106,39303439851.176285,9
fvc,,"waist_circ, df=3",,"bs(waist_circ, df=3)[0]",490.3459067962608,59.50009066783574,8.241095119226928,1.7205147939541977e-16,373.726893062832,606.9649205296896,272565.77657926106,39303439851.176285,9
fvc,,"waist_circ, df=3",,"bs(waist_circ, df=3)[1]",-1732.2267618922979,90.80449033615308,-19.076443857343314,4.990580723596713e-81,-1910.2017865806765,-1554.2517372039192,272565.77657926106,39303439851.176285,9
fvc,,"waist_circ, df=3",,"bs(waist_circ, df=3)[2]",-538.8042369947837,224.18094852989222,-2.403434549314255,0.01624312861017196,-978.194510554707,-99.41396343486025,272565.77657926106,39303439851.176285,9
fvc,,"sit_height, df=3",,Intercept,6601.177809269946,83.57721711857533,78.98298168871204,0.0,6437.368098694343,6764.987519845549,271523.57842885336,39153156962.2838,10
fvc,,"sit_height, df=3",,sex[T.True],-981.3313525229116,20.518069333947018,-47.827665291066396,0.0,-1021.5463670333316,-941.1163380124916,271523.57842885336,39153156962.2838,10
fvc,,"sit_height, df=3",,race_1[T.True],-681.6648204274422,12.023248031573356,-56.69556334838747,0.0,-705.2301513648969,-658.0994894899876,271523.57842885336,39153156962.2838,10
fvc,,"sit_height, df=3",,race_2[T.True],-684.885133958999,9.248243191482963,-74.05570115086658,0.0,-703.0115096958255,-666.7587582221724,271523.57842885336,39153156962.2838,10
fvc,,"sit_height, df=3",,race_3[T.True],2.016308235838502e-12,5.59230955675401e-13,3.6055018331439515,0.0003116553064999112,9.202265026535195e-13,3.1123899690234846e-12,271523.57842885336,39153156962.2838,10
fvc,,"sit_height, df=3",,race_4[T.True],-277.67872174585756,10.94268019378972,-25.375750440321568,9.589112440050154e-142,-299.1261608598322,-256.2312826318829,271523.57842885336,39153156962.2838,10
fvc,,"sit_height, df=3",,age,-28.876951464309812,0.27449324757404125,-105.20095382863872,0.0,-29.414952859789008,-28.338950068830616,271523.57842885336,39153156962.2838,10
fvc,,"sit_height, df=3",,sex[T.True]:age,4.680870030247092,0.3535681274938116,13.238947931835341,5.516690167476221e-40,3.987883417025114,5.373856643469069,271523.57842885336,39153156962.2838,10
fvc,,"sit_height, df=3",,height,391.51617964470745,3.005511294465507,130.2660816366467,0.0,385.62543630277963,397.40692298663527,271523.57842885336,39153156962.2838,10
fvc,,"sit_height, df=3",,waist_circ,-135.73227250321588,1.5795358158325112,-85.9317472530224,0.0,-138.82813180262556,-132.6364132038062,271523.57842885336,39153156962.2838,10
fvc,,"sit_height, df=3",,"bs(sit_height, df=3)[0]",-1978.3730922526584,185.16887997537253,-10.684155418101476,1.235492664645402e-26,-2341.300474643726,-1615.4457098615908,271523.57842885336,39153156962.2838,10
fvc,,"sit_height, df=3",,"bs(sit_height, df=3)[1]",-83.07940452824363,71.74210780803007,-1.158028486569565,0.2468543297342817,-223.69253237914955,57.5337233226623,271523.57842885336,39153156962.2838,10
fvc,,"sit_height, df=3",,"bs(sit_height, df=3)[2]",-112.5916464867338,203.29835693729612,-0.5538246751372454,0.5796996983357623,-511.052449065822,285.8691560923544,271523.57842885336,39153156962.2838,10
fvc,,"weight, df=3",,Intercept,5743.799448046948,25.832143356976847,222.35086607691963,0.0,5693.168952404855,5794.429943689041,272226.39870287315,39254502240.156906,11
fvc,,"weight, df=3",,sex[T.True],-1038.060644361998,20.35151907126991,-51.00654357676035,0.0,-1077.9492236180276,-998.1720651059682,272226.39870287315,39254502240.156906,11
fvc,,"weight, df=3",,race_1[T.True],-679.286565324581,12.059181554260926,-56.32940861434876,0.0,-702.9223252649309,-655.6508053842311,272226.39870287315,39254502240.156906,11
fvc,,"weight, df=3",,race_2[T.True],-675.655112167999,9.271259245614806,-72.8763045308625,0.0,-693.826598921731,-657.4836254142671,272226.39870287315,39254502240.156906,11
fvc,,"weight, df=3",,race_3[T.True],-3.3078475942780647e-12,4.561760551733777e-14,-72.51252135583616,0.0,-3.397257208704212e-12,-3.2184379798519174e-12,272226.39870287315,39254502240.156906,11
fvc,,"weight, df=3",,race_4[T.True],-273.2388760164843,10.955268688223237,-24.94132127587271,5.189694285950935e-137,-294.71098833453675,-251.7667636984319,272226.39870287315,39254502240.156906,11
fvc,,"weight, df=3",,age,-29.753647745876187,0.27610886487546416,-107.76056668552181,0.0,-30.294815719692213,-29.21247977206016,272226.39870287315,39254502240.156906,11
fvc,,"weight, df=3",,sex[T.True]:age,5.678996490900532,0.3511632246710157,16.171956776569793,8.961404621494334e-59,4.990723440125324,6.367269541675741,272226.39870287315,39254502240.156906,11
fvc,,"weight, df=3",,height,399.6001494066297,3.0595145050039774,130.60900634825074,0.0,393.6035608281336,405.59673798512586,272226.39870287315,39254502240.156906,11
fvc,,"weight, df=3",,waist_circ,-122.74508461495144,3.5040233683375956,-35.02975628646708,1.0680024592623374e-267,-129.61290186994088,-115.87726735996199,272226.39870287315,39254502240.156906,11
fvc,,"weight, df=3",,sit_height,65.2994479629956,2.7518125722102273,23.72961320928473,3.0934553442777976e-124,59.90594915340048,70.69294677259072,272226.39870287315,39254502240.156906,11
fvc,,"weight, df=3",,"bs(weight, df=3)[0]",314.7841819780808,56.13313050146726,5.607814479006346,2.0527117695299763e-08,204.76434429148202,424.80401966467963,272226.39870287315,39254502240.156906,11
fvc,,"weight, df=3",,"bs(weight, df=3)[1]",-196.350764337955,67.22557075385868,-2.920774969049775,0.0034921602052819223,-328.11156792497695,-64.5899607509331,272226.39870287315,39254502240.156906,11
fvc,,"weight, df=3",,"bs(weight, df=3)[2]",-185.8701231769276,138.8752269396493,-1.3383965396341044,0.18076931677316785,-458.0628512520242,86.32260489816903,272226.39870287315,39254502240.156906,11
fvc,,"bmi, df=3",,Intercept,5214.336742099098,41.457403622540134,125.77576708793445,0.0,5133.081041998673,5295.592442199523,271854.6552116692,39200897572.21228,12
fvc,,"bmi, df=3",,sex[T.True],-1032.0788769428955,20.3851931006454,-50.62884966786111,0.0,-1072.033456640084,-992.1242972457069,271854.6552116692,39200897572.21228,12
fvc,,"bmi, df=3",,race_1[T.True],-681.0532132063106,12.051105778972877,-56.51375282047829,0.0,-704.6731447864523,-657.4332816261689,271854.6552116692,39200897572.21228,12
